Game Number,Day,Play,Visitor Team,Visitor Score,Home Team,Home Score,Overtime,Shutout
176,35,True,7,1,5,3,False,False
177,36,True,6,0,24,5,False,False
178,36,True,3,2,11,3,True,False
179,36,True,14,1,4,5,False,False
180,36,True,9,3,15,5,False,False
181,36,True,22,1,8,3,False,False
182,36,True,19,3,13,4,False,False
183,37,True,12,2,10,1,False,False
184,37,True,2,5,18,4,True,False
185,37,True,20,2,16,1,False,False
186,37,True,7,3,23,2,False,False
187,38,True,15,2,19,1,True,False
188,38,True,21,1,9,2,False,False
189,38,True,17,3,3,2,False,False
190,38,True,4,1,6,2,False,False
191,38,True,8,2,14,3,False,False
192,38,True,11,3,7,2,False,False
193,39,True,12,4,17,2,False,False
194,39,True,1,2,24,3,False,False
195,39,True,18,3,5,4,True,False
196,39,True,10,7,22,3,False,False
197,39,True,16,3,21,1,False,False
198,39,True,13,7,20,2,False,False
199,40,True,14,3,15,4,False,False
200,40,True,19,1,8,7,False,False
201,40,True,6,3,23,1,False,False
202,40,True,3,4,4,0,False,False
203,41,True,11,3,1,1,False,False
204,41,True,20,3,2,5,False,False
205,41,True,22,0,9,2,False,False
206,41,True,24,3,12,4,True,False
207,42,True,5,1,10,4,False,False
208,42,True,21,2,16,1,False,False
209,42,True,14,3,13,2,True,False
210,42,True,6,3,18,4,True,False
211,43,True,2,2,11,0,False,False
212,43,True,23,5,7,4,True,True
213,43,True,12,4,3,2,False,False
214,43,True,8,4,19,2,False,False
215,43,True,4,3,6,4,True,False
216,43,True,9,1,14,4,False,False
217,44,True,20,0,17,6,False,False
218,44,True,21,1,22,2,False,False
219,44,True,16,0,24,4,False,False
220,44,True,10,2,5,1,False,False
221,45,True,4,2,15,3,True,False
222,45,True,3,4,1,2,False,False
223,45,True,2,4,8,3,True,False
224,45,True,23,2,18,4,False,False
225,45,True,12,6,11,2,False,False
226,45,True,7,4,13,2,False,False
227,46,True,6,2,21,0,False,False
228,46,True,24,4,10,0,False,False
229,46,True,16,4,9,1,False,False
230,46,True,5,1,19,2,False,False
231,46,True,14,0,20,2,False,False
232,47,True,7,0,2,2,False,False
233,47,True,13,2,4,4,False,False
234,47,True,1,3,23,1,False,False
235,47,True,18,1,12,3,False,False
236,47,True,17,3,3,1,False,False
237,47,True,15,2,16,3,False,False
238,48,True,11,1,6,2,True,False
239,48,True,19,1,14,4,False,False
240,48,True,9,2,7,1,False,False
241,48,True,21,2,17,5,False,False
242,48,True,8,2,22,1,True,False
243,49,True,24,3,5,2,False,False
244,49,True,2,3,15,2,False,False
245,49,True,23,3,1,4,True,False
246,49,True,12,1,10,4,False,False
247,49,True,4,3,13,2,False,False
248,49,True,3,3,18,4,True,False
249,50,True,9,1,20,6,False,False
250,50,True,6,3,11,1,False,False
251,50,True,22,4,8,2,False,False
252,50,True,19,5,21,3,False,False
253,50,True,16,3,24,4,True,True
254,50,True,14,3,4,1,False,False
255,51,True,1,2,2,1,False,False
256,51,True,15,0,23,1,False,False
257,51,True,17,6,3,1,False,False
258,51,True,18,5,7,4,True,False
259,52,True,6,3,9,2,False,False
260,52,True,22,2,19,4,False,False
261,52,True,8,4,12,1,False,False
262,52,True,13,0,16,3,False,False
263,52,True,10,5,14,1,False,False
264,53,True,20,3,6,4,False,False
265,53,True,3,3,17,5,False,False
266,53,True,7,3,5,4,False,False
267,53,True,24,2,1,0,False,False
268,53,True,23,1,11,4,False,False
269,54,True,9,2,15,5,False,False
270,54,True,13,2,21,1,False,False
271,54,True,10,3,22,4,True,True
272,54,True,12,5,8,4,True,False
273,54,True,19,0,18,4,False,False
274,54,True,14,1,2,4,False,False
275,55,True,20,2,24,7,False,False
276,55,True,1,3,4,5,False,False
277,55,True,7,4,16,2,False,False
278,55,True,5,4,23,5,False,False
279,55,True,3,1,13,3,False,False
280,55,True,11,1,10,3,False,False
281,56,True,18,4,20,5,True,True
282,56,True,12,3,9,2,True,True
283,56,True,6,4,19,3,False,False
284,56,True,8,3,14,2,False,False
285,56,True,2,2,3,5,False,False
286,57,True,11,2,7,1,False,False
287,57,True,16,2,12,5,False,False
288,57,True,23,4,6,0,False,False
289,57,True,22,0,17,3,False,False
290,57,True,4,2,5,1,False,False
291,58,True,15,2,21,3,True,True
292,58,True,10,4,24,1,False,False
293,58,True,13,3,1,2,True,True
294,58,True,2,4,22,2,False,False
295,58,True,14,2,8,3,False,False
296,58,True,9,3,18,6,False,False
297,59,True,5,3,15,4,False,False
298,59,True,19,4,4,1,False,False
299,59,True,20,2,11,0,False,False
300,59,True,17,2,16,1,True,False
301,59,True,7,3,23,5,False,False
302,59,True,6,2,13,1,True,False
303,60,True,9,2,2,4,False,False
304,60,True,3,4,10,5,True,False
305,60,True,8,7,20,4,False,False
306,60,True,21,2,12,5,False,False
307,61,True,14,4,19,1,False,False
308,61,True,22,4,7,3,False,False
309,61,True,4,2,3,1,True,True
310,61,True,1,3,9,2,True,False
311,62,True,10,4,6,3,True,True
312,62,True,21,1,14,2,False,False
313,62,True,13,4,17,2,False,False
314,62,True,23,3,5,5,False,False
315,63,True,20,2,15,1,True,True
316,63,True,2,6,24,4,False,False
317,63,True,12,4,1,5,False,False
318,63,True,7,1,11,3,False,False
319,63,True,16,2,18,4,False,False
320,63,True,8,4,22,1,False,False
321,64,True,17,3,21,2,False,False
322,64,True,10,3,4,4,True,True
323,64,True,13,2,19,1,False,False
324,64,True,5,3,23,4,True,True
325,64,True,9,2,16,0,False,False
326,64,True,3,1,2,3,False,False
327,65,True,11,3,8,2,False,False
328,65,True,12,6,20,3,False,False
329,65,True,24,6,13,3,False,False
330,65,True,6,1,10,4,False,False
331,66,True,5,3,3,6,False,False
332,66,True,1,3,9,1,False,False
333,66,True,15,2,7,3,True,True
334,66,True,18,3,14,2,False,False
335,66,True,17,3,12,2,False,False
336,66,True,19,0,6,1,False,False
337,67,True,11,0,17,2,False,False
338,67,True,8,0,24,2,False,False
339,67,True,4,1,21,3,False,False
340,67,True,20,1,22,3,False,False
341,67,True,16,5,15,1,False,False
342,67,True,2,4,1,5,True,True
343,68,True,10,2,18,4,False,False
344,68,True,23,2,5,0,False,False
345,68,True,7,3,4,4,True,False
346,68,True,3,3,11,2,True,True
347,68,True,13,2,19,3,True,False
348,68,True,14,0,2,2,False,False
349,69,True,21,1,20,4,False,False
350,69,True,16,2,8,3,False,False
351,69,True,12,7,23,5,False,False
352,69,True,24,3,9,1,False,False
353,69,True,6,1,10,3,False,False
354,70,True,22,3,13,6,False,False
355,70,True,5,1,16,4,False,False
356,70,True,15,5,14,1,False,False
357,70,True,18,2,3,1,False,False
358,70,True,19,2,7,3,True,True
359,70,True,1,1,12,5,False,False
360,71,True,9,1,6,5,False,False
361,71,True,21,2,17,3,False,False
362,71,True,2,1,24,4,False,False
363,71,True,20,1,22,2,False,False
364,71,True,8,4,15,3,False,False
365,71,True,11,2,4,3,True,True
366,72,True,18,6,1,3,False,False
367,72,True,14,1,5,2,False,False
368,72,True,10,4,21,1,False,False
369,72,True,13,1,23,2,True,False
370,72,True,7,4,11,5,True,True
371,72,True,3,5,19,1,False,False
372,73,True,6,2,18,5,False,False
373,73,True,4,0,16,1,False,False
374,73,True,17,3,2,2,True,True
375,73,True,8,3,20,1,False,False
376,73,True,15,2,9,1,True,False
377,74,True,1,0,10,4,False,False
378,74,True,14,4,12,8,False,False
379,74,True,5,1,13,2,False,False
380,74,True,23,3,8,1,False,False
381,74,True,3,3,7,4,True,False
382,74,True,22,0,6,1,True,False
383,75,True,11,1,14,2,False,False
384,75,True,20,0,3,5,False,False
385,75,True,24,3,17,4,False,False
